,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Mae Hong Son,19.3,97.97,73.83,88,98,1.05,TH,1591734859
1,Témiscaming,46.72,-79.1,77.0,53,75,8.05,CA,1591734859
2,Ushuaia,-54.8,-68.3,41.0,87,75,2.75,AR,1591735199
3,Barrow,71.29,-156.79,30.2,80,90,5.82,US,1591735079
4,San Vicente,-26.62,-54.13,66.2,100,85,1.99,AR,1591734859
5,Aklavik,68.22,-135.01,44.6,81,90,12.75,CA,1591734860
6,Yining,29.04,114.56,75.42,93,100,1.77,CN,1591734860
7,Flinders,-34.58,150.86,55.0,93,100,1.01,AU,1591734860
8,Mahébourg,-20.41,57.7,69.8,83,40,9.17,MU,1591735091
9,Alofi,-19.06,-169.92,75.2,94,40,4.7,NU,1591735200
10,Chui,-33.7,-53.46,55.71,87,100,1.83,UY,1591735200
11,Cape Town,-33.93,18.42,60.01,87,75,11.41,ZA,1591735171
12,Sosnovoborsk,56.13,93.36,41.0,100,40,6.71,RU,1591734860
13,Arraial do Cabo,-22.97,-42.03,78.8,88,0,9.17,BR,1591735200
14,Yellowknife,62.46,-114.35,46.0,81,90,12.75,CA,1591735200
15,Butaritari,3.07,172.79,82.74,77,42,15.59,KI,1591735200
16,Mount Isa,-20.73,139.5,59.0,62,0,4.7,AU,1591735201
17,Juan Lacaze,-34.43,-57.44,61.0,87,84,8.05,UY,1591734861
18,Hithadhoo,-0.6,73.08,83.7,70,100,7.18,MV,1591735201
19,Río Gallegos,-51.62,-69.22,42.8,56,40,18.34,AR,1591735201
20,Nishihara,26.18,127.76,77.0,88,75,10.29,JP,1591734861
21,Güstrow,53.8,12.17,60.8,55,20,6.93,DE,1591734861
22,Port Alfred,-33.59,26.89,75.0,35,7,5.99,ZA,1591735077
23,Kapaa,22.08,-159.32,82.4,74,90,9.17,US,1591735201
24,Atuona,-9.8,-139.03,80.85,78,8,21.88,PF,1591735201
25,Teluk Nibung,3.0,99.82,78.87,91,100,8.52,ID,1591734862
26,Rikitea,-23.12,-134.97,76.24,85,100,9.55,PF,1591735202
27,Nikolskoye,59.7,30.79,64.0,88,81,4.47,RU,1591735202
28,Qaanaaq,77.48,-69.36,33.53,85,0,0.92,GL,1591735202
29,Walvis Bay,-22.96,14.51,60.01,87,0,2.24,NA,1591735071
30,Iskateley,67.68,53.15,61.21,85,99,15.3,RU,1591734862
31,Lagoa,39.05,-27.98,63.66,81,100,6.67,PT,1591735202
32,Saurimo,-9.66,20.39,63.48,42,0,4.68,AO,1591734862
33,Mataura,-46.19,168.86,50.0,86,16,8.01,NZ,1591735203
